,date,MKTbond,DRF,CRF,LRF
0,200208,3.160608092,,,0.574170832
1,200209,1.236995665,,,1.311960958
2,200210,-0.962654463,,,1.115584872
3,200211,2.275155128,,,2.321653379
4,200212,2.412014411,,,0.2385581
5,200301,0.754930269,,,1.988333878
6,200302,1.80574718,,,-0.065404226
7,200303,0.148207217,,,0.103076609
8,200304,2.036857906,,,1.71874846
9,200305,2.927737454,,,1.265775652
10,200306,0.124035213,,,1.695711335
11,200307,-3.363082513,,,-0.372743891
12,200308,0.238905306,,,-1.208417262
13,200309,2.774994602,,,1.311906533
14,200310,-0.673493743,,,0.752915379
15,200311,0.893099633,,,1.163855003
16,200312,0.760299422,,,-0.261757815
17,200401,1.046331466,,,1.131966465
18,200402,0.998529516,,,0.492158977
19,200403,0.846137645,,,0.560670968
20,200404,-2.683642657,,,-0.322856533
21,200405,-0.724510213,,,-0.093293887
22,200406,0.235148333,,,0.808573315
23,200407,0.968245303,1.745534629,-0.373803536,0.306633694
24,200408,1.813495602,1.372775739,0.587139998,0.610949603
25,200409,0.602680513,1.598914263,0.829133561,0.792037179
26,200410,0.58326095,0.683907969,1.482023273,0.264135715
27,200411,-0.624418107,1.996452239,0.65750288,0.480932594
28,200412,0.726160427,0.930412428,-0.756995111,0.499216199
29,200501,0.58277762,0.188169987,1.168052996,0.862112421
30,200502,-0.430987487,-2.073711378,-1.470706332,-0.060633769
31,200503,-1.6618703,0.164210752,-2.642495777,-0.571062965
32,200504,1.00206257,1.629696876,0.635504116,0.153914383
33,200505,0.77568671,1.298614917,0.580281962,0.235707543
34,200506,0.525200254,0.235232904,1.890553335,0.688934942
35,200507,-0.695723187,-0.173408154,-0.181115147,0.094273372
36,200508,0.441295598,-1.899359093,-0.243843329,-0.228353505
37,200509,-1.125124307,-1.138013627,-0.014961856,-0.768417149
38,200510,-1.183888398,-0.525793223,0.179590216,-0.420310798
39,200511,0.161893957,1.074287118,-0.364390343,-0.803172839
40,200512,0.385519124,1.41206492,1.248159895,0.915735491
41,200601,-0.216568396,0.359225158,0.233535238,1.592852993
42,200602,-0.061586103,-0.111774176,1.486434056,0.18632523
43,200603,-1.036739909,-0.659492549,0.88402871,-0.35630428
44,200604,-0.705834348,0.5946455,0.130473532,-0.780671022
45,200605,-0.257225916,0.572908547,0.114040601,1.031791614
46,200606,-0.608221283,1.567668514,-0.080450913,-0.199384816
47,200607,0.988162999,1.15504346,-0.248601892,0.668598653
48,200608,1.004210776,1.509000048,-0.047743604,0.614433674
49,200609,0.649714884,1.637863353,0.836881519,0.560641666
50,200610,0.138495605,2.253540798,0.975009471,0.529930135
51,200611,0.781581155,0.141114595,1.014027526,0.703855193
52,200612,-0.778747586,-0.170252305,1.105928165,-0.148836752
53,200701,-0.477366087,1.047007644,0.318380408,0.102109492
54,200702,1.205496573,-1.155605062,0.255966088,0.723130823
55,200703,-0.580960624,0.612382767,0.537675886,-0.492436864
56,200704,0.074373719,0.224632204,1.115953699,-0.078606972
57,200705,-0.994847296,-1.329267717,-0.418444397,-0.106188712
58,200706,-0.951717559,-2.010683686,-1.840473327,-0.78551523
59,200707,-0.215735451,-1.386541155,0.226523195,-0.532155018
60,200708,0.302106847,1.908600654,0.937423742,-0.403621659
61,200709,0.618799856,0.381515046,0.033308568,-0.393754828
62,200710,0.831521596,-3.355498713,-2.352549732,0.352580876
63,200711,-0.157149821,-1.830368055,-0.86670529,-1.05771898
64,200712,-0.221837822,-0.628994241,-1.763017132,-0.882971031
65,200801,1.227878398,-2.14787953,-0.283093263,-0.281275467
66,200802,-0.683948638,-2.088730233,-0.351185992,-0.563660032
67,200803,-0.804868596,4.426700403,2.965999831,-0.851874816
68,200804,0.967464982,0.268588737,1.354304119,0.65740389
69,200805,-0.615156889,-3.5987142,-1.926818577,0.621884951
70,200806,-1.139009258,-2.4423859,-1.571734969,-1.948732281
71,200807,-0.606220463,-1.165629751,-1.126858164,-1.307034768
72,200808,0.799175883,-7.430265908,-0.289274645,0.361885961
73,200809,-6.365338267,5.124281245,-6.135006462,-2.629102823
74,200810,-3.118187187,-1.181975706,-8.839024694,2.584739571
75,200811,3.274329459,7.506392206,3.086972657,0.11976829
76,200812,7.567647325,-0.270345815,8.193714184,2.331930451
77,200901,0.399316477,-6.209471698,0.327021882,2.207607323
78,200902,-2.88448622,1.618401127,4.653204305,1.086978599
79,200903,-0.117505812,8.378577965,6.342399795,1.280795595
80,200904,3.702486889,12.78864611,4.615377531,6.193959863
81,200905,3.569243115,2.955635625,1.945370774,11.65988356
82,200906,2.293455201,1.433233701,3.136467701,3.440247652
83,200907,2.97893351,5.613657378,2.663555707,-0.535440615
84,200908,1.864539903,5.151571152,3.300382062,3.857136888
85,200909,1.694471389,2.090107208,0.999214102,3.082715242
86,200910,0.639121118,2.232907552,1.973892519,-0.271041706
87,200911,1.094108489,3.019090475,4.131755755,2.224274045
88,200912,-0.463625243,0.469551424,1.365448749,0.527473051
89,201001,1.249998893,1.283279965,1.25363919,2.215838201
90,201002,0.417900381,3.438482752,2.224839223,1.295257746
91,201003,0.435538376,2.258576689,1.20842012,1.411592878
92,201004,1.274452886,-1.578793546,-2.588771656,1.393450096
93,201005,-0.109055386,0.920626917,-0.54775237,1.040874679
94,201006,1.513232644,2.056546947,1.520205106,0.170856088
95,201007,1.577407938,1.556853578,-1.068098813,0.485679212
96,201008,1.510297224,2.057014858,2.102496669,1.459065648
97,201009,0.556895102,1.074547722,2.32148809,0.407375226
98,201010,0.081782031,0.589988724,-0.052084661,-0.207303025
99,201011,-0.540733211,2.090466108,1.716445885,0.32052195
100,201012,-0.828174771,-0.160631414,1.636102134,-0.784862874
101,201101,0.566209198,2.131092081,2.087156008,0.96782197
