,date,RF
0,192607,0.22
1,192608,0.25
2,192609,0.23
3,192610,0.32
4,192611,0.31
5,192612,0.28
6,192701,0.25
7,192702,0.26
8,192703,0.3
9,192704,0.25
10,192705,0.3
11,192706,0.26
12,192707,0.3
13,192708,0.28
14,192709,0.21
15,192710,0.25
16,192711,0.21
17,192712,0.22
18,192801,0.25
19,192802,0.33
20,192803,0.29
21,192804,0.22
22,192805,0.32
23,192806,0.31
24,192807,0.32
25,192808,0.32
26,192809,0.27
27,192810,0.41
28,192811,0.38
29,192812,0.06
30,192901,0.34
31,192902,0.36
32,192903,0.34
33,192904,0.36
34,192905,0.44
35,192906,0.52
36,192907,0.33
37,192908,0.4
38,192909,0.35
39,192910,0.46
40,192911,0.37
41,192912,0.37
42,193001,0.14
43,193002,0.3
44,193003,0.35
45,193004,0.21
46,193005,0.26
47,193006,0.27
48,193007,0.2
49,193008,0.09
50,193009,0.22
51,193010,0.09
52,193011,0.13
53,193012,0.14
54,193101,0.15
55,193102,0.04
56,193103,0.13
57,193104,0.08
58,193105,0.09
59,193106,0.08
60,193107,0.06
61,193108,0.03
62,193109,0.03
63,193110,0.1
64,193111,0.17
65,193112,0.12
66,193201,0.23
67,193202,0.23
68,193203,0.16
69,193204,0.11
70,193205,0.06
71,193206,0.02
72,193207,0.03
73,193208,0.03
74,193209,0.03
75,193210,0.02
76,193211,0.02
77,193212,0.01
78,193301,0.01
79,193302,-0.03
80,193303,0.04
81,193304,0.1
82,193305,0.04
83,193306,0.02
84,193307,0.02
85,193308,0.03
86,193309,0.02
87,193310,0.01
88,193311,0.02
89,193312,0.02
90,193401,0.05
91,193402,0.02
92,193403,0.02
93,193404,0.01
94,193405,0.01
95,193406,0.01
96,193407,0.01
97,193408,0.01
98,193409,0.01
99,193410,0.01
100,193411,0.01
101,193412,0.01
102,193501,0.01
103,193502,0.02
104,193503,0.01
105,193504,0.01
106,193505,0.01
107,193506,0.01
108,193507,0.01
109,193508,0.01
110,193509,0.01
111,193510,0.01
112,193511,0.02
113,193512,0.01
114,193601,0.01
115,193602,0.01
116,193603,0.02
117,193604,0.02
118,193605,0.02
119,193606,0.03
120,193607,0.01
121,193608,0.02
122,193609,0.01
123,193610,0.02
124,193611,0.01
125,193612,0.0
126,193701,0.01
127,193702,0.02
128,193703,0.01
129,193704,0.03
130,193705,0.06
131,193706,0.03
132,193707,0.03
133,193708,0.02
134,193709,0.04
135,193710,0.02
136,193711,0.02
137,193712,0.0
138,193801,0.0
139,193802,0.0
140,193803,-0.01
141,193804,0.01
142,193805,0.0
143,193806,0.0
144,193807,-0.01
145,193808,0.0
146,193809,0.02
147,193810,0.01
148,193811,-0.06
149,193812,0.0
150,193901,-0.01
151,193902,0.01
152,193903,-0.01
153,193904,0.0
154,193905,0.01
155,193906,0.01
156,193907,0.0
157,193908,-0.01
158,193909,0.01
159,193910,0.0
160,193911,0.0
161,193912,0.0
162,194001,0.0
163,194002,0.0
164,194003,0.0
165,194004,0.0
166,194005,-0.02
167,194006,0.0
168,194007,0.01
169,194008,-0.01
170,194009,0.0
171,194010,0.0
172,194011,0.0
173,194012,0.0
174,194101,-0.01
175,194102,-0.01
176,194103,0.01
177,194104,-0.01
178,194105,0.0
179,194106,0.0
180,194107,0.03
181,194108,0.01
182,194109,0.01
183,194110,0.0
184,194111,0.0
185,194112,0.01
186,194201,0.02
187,194202,0.01
188,194203,0.01
189,194204,0.01
190,194205,0.03
191,194206,0.02
192,194207,0.03
193,194208,0.03
194,194209,0.03
195,194210,0.03
196,194211,0.03
197,194212,0.03
198,194301,0.03
199,194302,0.03
200,194303,0.03
201,194304,0.03
202,194305,0.03
203,194306,0.03
204,194307,0.03
205,194308,0.03
206,194309,0.03
207,194310,0.03
208,194311,0.03
209,194312,0.03
210,194401,0.03
211,194402,0.03
212,194403,0.02
213,194404,0.03
214,194405,0.03
215,194406,0.03
216,194407,0.03
217,194408,0.03
218,194409,0.02
219,194410,0.03
220,194411,0.03
221,194412,0.02
222,194501,0.03
223,194502,0.02
